"id";"timestamp";"tipo";"estado";"canal";"tsRecibido";"tsPreparando";"tsListo";"tsEnCamino";"tsEntregado";"tsUltimoCambio";"motivoDemora";"historialEstados";"atencion_min";"preparacion_min";"empaque_min";"entrega_min";"total_min";"grupo";"registro_corregido";"fechas_invalidas";"meta_min";"cumple_meta"
"f2be2a48bb664f4f";"2026-09-12T15:00:00.000Z";"domicilio";"Entregado";"mostrador";"2026-09-12T15:00:00.000Z";"2026-09-12T15:02:00.000Z";"2026-09-12T15:15:00.000Z";"2026-09-12T15:17:00.000Z";"2026-09-12T15:20:00.000Z";"2026-09-12T15:02:00.000Z";"";"[{""hora"":""2026-09-12T15:00:00.000Z"",""de"":null,""a"":""Recibido""},{""hora"":""2026-09-12T15:20:00.000Z"",""de"":""Listo para entregar"",""a"":""Entregado""}]";"2";"13";"2";"3";"20";"Resto";"false";"false";"20";"true"
"eba405da6bf14fab";"2026-09-12T15:01:00.000Z";"local";"Entregado";"web";"2026-09-12T15:01:00.000Z";"2026-09-12T15:03:00.000Z";"2026-09-12T15:16:00.000Z";"";"2026-09-12T15:22:00.000Z";"2026-09-12T15:03:00.000Z";"alta demanda";"[{""hora"":""2026-09-12T15:01:00.000Z"",""de"":null,""a"":""Recibido""},{""hora"":""2026-09-12T15:22:00.000Z"",""de"":""Listo para entregar"",""a"":""Entregado""}]";"2";"13";"6";"";"21";"Resto";"false";"false";"20";"false"
"b115d9b509414460";"2026-09-12T15:02:00.000Z";"domicilio";"Entregado";"web";"2026-09-12T15:02:00.000Z";"2026-09-12T15:04:00.000Z";"2026-09-12T15:17:00.000Z";"2026-09-12T15:19:00.000Z";"2026-09-12T15:24:00.000Z";"2026-09-12T15:04:00.000Z";"alta demanda";"[{""hora"":""2026-09-12T15:02:00.000Z"",""de"":null,""a"":""Recibido""},{""hora"":""2026-09-12T15:24:00.000Z"",""de"":""Listo para entregar"",""a"":""Entregado""}]";"2";"13";"2";"5";"22";"Resto";"false";"false";"20";"false"
"7f5fbb9a10da403e";"2026-09-12T15:03:00.000Z";"local";"Entregado";"mostrador";"2026-09-12T15:03:00.000Z";"2026-09-12T15:05:00.000Z";"2026-09-12T15:18:00.000Z";"";"2026-09-12T15:26:00.000Z";"2026-09-12T15:05:00.000Z";"";"[{""hora"":""2026-09-12T15:03:00.000Z"",""de"":null,""a"":""Recibido""},{""hora"":""2026-09-12T15:26:00.000Z"",""de"":""Listo para entregar"",""a"":""Entregado""}]";"2";"13";"8";"";"23";"Resto";"false";"false";"20";"false"
"be7e6cbceec74ab1";"2026-09-12T15:04:00.000Z";"domicilio";"Entregado";"web";"2026-09-12T15:04:00.000Z";"2026-09-12T15:06:00.000Z";"2026-09-12T15:19:00.000Z";"2026-09-12T15:21:00.000Z";"2026-09-12T15:28:00.000Z";"2026-09-12T15:06:00.000Z";"alta demanda";"[{""hora"":""2026-09-12T15:04:00.000Z"",""de"":null,""a"":""Recibido""},{""hora"":""2026-09-12T15:28:00.000Z"",""de"":""Listo para entregar"",""a"":""Entregado""}]";"2";"13";"2";"7";"24";"Resto";"false";"false";"20";"false"
"ebf194f750234c65";"2026-09-12T15:05:00.000Z";"local";"Entregado";"web";"2026-09-12T15:05:00.000Z";"2026-09-12T15:07:00.000Z";"2026-09-12T15:20:00.000Z";"";"2026-09-12T15:25:00.000Z";"2026-09-12T15:07:00.000Z";"alta demanda";"[{""hora"":""2026-09-12T15:05:00.000Z"",""de"":null,""a"":""Recibido""},{""hora"":""2026-09-12T15:25:00.000Z"",""de"":""Listo para entregar"",""a"":""Entregado""}]";"2";"13";"5";"";"20";"Resto";"false";"false";"20";"true"
"ca3f4f1a875a4a1b";"2026-09-12T15:06:00.000Z";"domicilio";"Entregado";"mostrador";"2026-09-12T15:06:00.000Z";"2026-09-12T15:08:00.000Z";"2026-09-12T15:21:00.000Z";"2026-09-12T15:23:00.000Z";"2026-09-12T15:27:00.000Z";"2026-09-12T15:08:00.000Z";"";"[{""hora"":""2026-09-12T15:06:00.000Z"",""de"":null,""a"":""Recibido""},{""hora"":""2026-09-12T15:27:00.000Z"",""de"":""Listo para entregar"",""a"":""Entregado""}]";"2";"13";"2";"4";"21";"Resto";"false";"false";"20";"false"
"fb37b236de7544fb";"2026-09-12T15:07:00.000Z";"local";"Entregado";"web";"2026-09-12T15:07:00.000Z";"2026-09-12T15:09:00.000Z";"2026-09-12T15:22:00.000Z";"";"2026-09-12T15:29:00.000Z";"2026-09-12T15:09:00.000Z";"alta demanda";"[{""hora"":""2026-09-12T15:07:00.000Z"",""de"":null,""a"":""Recibido""},{""hora"":""2026-09-12T15:29:00.000Z"",""de"":""Listo para entregar"",""a"":""Entregado""}]";"2";"13";"7";"";"22";"Resto";"false";"false";"20";"false"
"77421a454f3a4a7d";"2026-09-12T15:08:00.000Z";"domicilio";"Entregado";"web";"2026-09-12T15:08:00.000Z";"2026-09-12T15:10:00.000Z";"2026-09-12T15:23:00.000Z";"2026-09-12T15:25:00.000Z";"2026-09-12T15:31:00.000Z";"2026-09-12T15:10:00.000Z";"alta demanda";"[{""hora"":""2026-09-12T15:08:00.000Z"",""de"":null,""a"":""Recibido""},{""hora"":""2026-09-12T15:31:00.000Z"",""de"":""Listo para entregar"",""a"":""Entregado""}]";"2";"13";"2";"6";"23";"Resto";"false";"false";"20";"false"
"7bcdd72749384f65";"2026-09-12T15:09:00.000Z";"local";"Entregado";"mostrador";"2026-09-12T15:09:00.000Z";"2026-09-12T15:11:00.000Z";"2026-09-12T15:24:00.000Z";"";"2026-09-12T15:33:00.000Z";"2026-09-12T15:11:00.000Z";"";"[{""hora"":""2026-09-12T15:09:00.000Z"",""de"":null,""a"":""Recibido""},{""hora"":""2026-09-12T15:33:00.000Z"",""de"":""Listo para entregar"",""a"":""Entregado""}]";"2";"13";"9";"";"24";"Resto";"false";"false";"20";"false"
